Unique ID	Parent	Tier 1	Tier 2	Tier 3	Tier 4	Description
13	2	Automotive	Auto Body Styles	Minivan		Content relating to Automotive > Auto Body Styles > Minivan: minivans, people movers, family van, sliding doors, passenger van, MPV.
14	2	Automotive	Auto Body Styles	Off-Road Vehicles		Content relating to Automotive > Auto Body Styles > Off-Road Vehicles: off-road, 4x4, Jeep, SUV off-road, all-terrain, mudding, rock crawling, overlanding.
15	2	Automotive	Auto Body Styles	Pickup Trucks		Content relating to Automotive > Auto Body Styles > Pickup Trucks: pickup trucks, trucks, pickup, half-ton, heavy duty, towing, truck bed, work truck.
4	2	Automotive	Auto Body Styles	Sedan		Content relating to Automotive > Auto Body Styles > Sedan: sedans, four-door, saloon, passenger car, sedan reviews, midsize sedan.
5	2	Automotive	Auto Body Styles	Station Wagon		Content relating to Automotive > Auto Body Styles > Station Wagon: station wagons, wagons, estate cars, wagon, family wagon.
6	2	Automotive	Auto Body Styles	SUV		Content relating to Automotive > Auto Body Styles > SUV: SUVs, sport utility vehicles, sport utility, family SUV, crossover SUV.
7	2	Automotive	Auto Body Styles	Van		Content relating to Automotive > Auto Body Styles > Van: vans, cargo van, passenger van, minivan, full-size van, commercial van.
30	1	Automotive	Auto Buying and Selling			Content relating to Automotive > Auto Buying and Selling: car buying, car selling, dealership, trade-in, used cars, new cars, car price, negotiation.
31	1	Automotive	Auto Insurance			Content relating to Automotive > Auto Insurance: car insurance, auto insurance, vehicle insurance, coverage, premiums, claims, liability.
32	1	Automotive	Auto Parts			Content relating to Automotive > Auto Parts: auto parts, car parts, aftermarket, OEM parts, replacement parts, accessories, auto supply.
33	1	Automotive	Auto Recalls			Content relating to Automotive > Auto Recalls: car recalls, vehicle recalls, safety recall, NHTSA, defect, recall notice.
41	1	Automotive	Auto Rentals			Content relating to Automotive > Auto Rentals: car rental, rent a car, rental cars, hire car, rental agency, short-term rental.
34	1	Automotive	Auto Repair			Content relating to Automotive > Auto Repair: auto repair, car repair, mechanic, garage, service center, diagnostics, fix car.
35	1	Automotive	Auto Safety			Content relating to Automotive > Auto Safety: car safety, vehicle safety, crash test, safety ratings, airbags, seat belts, child safety.
36	1	Automotive	Auto Shows			Content relating to Automotive > Auto Shows: auto shows, car shows, motor show, new car launch, concept cars, auto exhibition.
37	1	Automotive	Auto Technology			Content relating to Automotive > Auto Technology: car technology, automotive tech, in-car tech, connected car, vehicle technology.
38	37	Automotive	Auto Technology	Auto Infotainment Technologies		Content relating to Automotive > Auto Technology > Auto Infotainment Technologies: infotainment, car stereo, touchscreen, Apple CarPlay, Android Auto, in-car entertainment.
39	37	Automotive	Auto Technology	Auto Navigation Systems		Content relating to Automotive > Auto Technology > Auto Navigation Systems: GPS navigation, car GPS, in-dash navigation, maps, turn-by-turn, navigation system.
40	37	Automotive	Auto Technology	Auto Safety Technologies		Content relating to Automotive > Auto Technology > Auto Safety Technologies: lane departure, blind spot, adaptive cruise, collision avoidance, automatic braking, safety tech.
16	1	Automotive	Auto Type			Content relating to Automotive > Auto Type: vehicle types, car categories, auto classification, car segments.
17	16	Automotive	Auto Type	Budget Cars		Content relating to Automotive > Auto Type > Budget Cars: budget cars, affordable cars, economy cars, cheap cars, value cars, entry-level.
18	16	Automotive	Auto Type	Certified Pre-Owned Cars		Content relating to Automotive > Auto Type > Certified Pre-Owned Cars: CPO, certified pre-owned, used certified, warranty used cars, approved used.
19	16	Automotive	Auto Type	Classic Cars		Content relating to Automotive > Auto Type > Classic Cars: classic cars, vintage cars, antique cars, collector cars, restoration, classic car show.
20	16	Automotive	Auto Type	Concept Cars		Content relating to Automotive > Auto Type > Concept Cars: concept cars, prototype, auto show concept, future cars, design study.
21	16	Automotive	Auto Type	Driverless Cars		Content relating to Automotive > Auto Type > Driverless Cars: self-driving, autonomous vehicles, driverless, autopilot, autonomous cars, robotaxi.
22	16	Automotive	Auto Type	Green Vehicles		Content relating to Automotive > Auto Type > Green Vehicles: electric vehicles, EV, hybrid, plug-in hybrid, fuel cell, zero emission, green cars.
23	16	Automotive	Auto Type	Luxury Cars		Content relating to Automotive > Auto Type > Luxury Cars: luxury cars, premium cars, high-end vehicles, luxury sedan, luxury SUV, prestige.
24	16	Automotive	Auto Type	Performance Cars		Content relating to Automotive > Auto Type > Performance Cars: performance cars, sports cars, high performance, fast cars, tuning, horsepower.
25	1	Automotive	Car Culture			Content relating to Automotive > Car Culture: car culture, car enthusiasts, car community, car clubs, automotive lifestyle.
26	1	Automotive	Dash Cam Videos			Content relating to Automotive > Dash Cam Videos: dash cam, dashcam, road cam, driving footage, accident footage, dash cam reviews.
27	1	Automotive	Motorcycles			Content relating to Automotive > Motorcycles: motorcycles, motorbikes, bikes, riding, Harley, sport bike, cruiser, motorcycle gear.
28	1	Automotive	Road-Side Assistance			Content relating to Automotive > Road-Side Assistance: roadside assistance, breakdown, towing, jump start, flat tire, AAA, emergency roadside.
29	1	Automotive	Scooters			Content relating to Automotive > Scooters: scooters, mopeds, motor scooters, Vespa, scooter commuting, electric scooter.
42		Books and Literature				Content relating to Books and Literature: books, literature, reading, novels, authors, publishing, book reviews, literary.
43	42	Books and Literature	Art and Photography			Content relating to Books and Literature > Art and Photography: art books, photography books, art history, visual arts, photo books, coffee table books.
46	42	Books and Literature	Comics and Graphic Novels			Content relating to Books and Literature > Comics and Graphic Novels: comics, graphic novels, manga, comic books, superheroes, illustrated stories.
48	42	Books and Literature	Fiction			Content relating to Books and Literature > Fiction: fiction, novels, storytelling, literary fiction, genre fiction, bestsellers.
49	42	Books and Literature	Poetry			Content relating to Books and Literature > Poetry: poetry, poems, poets, verse, spoken word, poetry collections.
52		Business and Finance				Content relating to Business and Finance: business, finance, corporate, economy, markets, investing, entrepreneurship.
53	52	Business and Finance	Business			Content relating to Business and Finance > Business: business management, corporate, enterprises, business news, strategy, operations.
54	53	Business and Finance	Business	Business Accounting & Finance		Content relating to Business and Finance > Business > Business Accounting & Finance: accounting, corporate finance, bookkeeping, financial reporting, CFO, audits.
62	53	Business and Finance	Business	Business Administration		Content relating to Business and Finance > Business > Business Administration: business administration, office management, administrative, business operations.
63	53	Business and Finance	Business	Business Banking & Finance		Content relating to Business and Finance > Business > Business Banking & Finance: business banking, corporate banking, business loans, commercial credit, business finance.
64	63	Business and Finance	Business	Business Banking & Finance	Angel Investment	Content relating to Business and Finance > Business > Business Banking & Finance > Angel Investment: angel investors, startup funding, seed funding, angel round, early-stage investment.
65	63	Business and Finance	Business	Business Banking & Finance	Bankruptcy	Content relating to Business and Finance > Business > Business Banking & Finance > Bankruptcy: bankruptcy, insolvency, Chapter 11, restructuring, debt relief, bankruptcy filing.
66	63	Business and Finance	Business	Business Banking & Finance	Business Loans	Content relating to Business and Finance > Business > Business Banking & Finance > Business Loans: business loans, commercial loans, SBA loans, business credit, financing for business.
67	63	Business and Finance	Business	Business Banking & Finance	Debt Factoring & Invoice Discounting	Content relating to Business and Finance > Business > Business Banking & Finance > Debt Factoring & Invoice Discounting: factoring, invoice financing, receivables, cash flow financing, invoice discounting.
68	63	Business and Finance	Business	Business Banking & Finance	Mergers and Acquisitions	Content relating to Business and Finance > Business > Business Banking & Finance > Mergers and Acquisitions: M&A, mergers, acquisitions, takeover, deal-making, corporate consolidation.
69	63	Business and Finance	Business	Business Banking & Finance	Private Equity	Content relating to Business and Finance > Business > Business Banking & Finance > Private Equity: private equity, PE, buyout, leveraged buyout, PE funds, investment firms.
70	63	Business and Finance	Business	Business Banking & Finance	Sale & Lease Back	Content relating to Business and Finance > Business > Business Banking & Finance > Sale & Lease Back: sale leaseback, sale and lease back, real estate financing, corporate real estate.
71	63	Business and Finance	Business	Business Banking & Finance	Venture Capital	Content relating to Business and Finance > Business > Business Banking & Finance > Venture Capital: venture capital, VC, startup investment, venture funding, VC firms, growth capital.
72	53	Business and Finance	Business	Business I.T.		Content relating to Business and Finance > Business > Business I.T.: business IT, corporate IT, information technology, business software, enterprise systems.
73	53	Business and Finance	Business	Business Operations		Content relating to Business and Finance > Business > Business Operations: business operations, ops, supply chain, process improvement, operational excellence.
79	53	Business and Finance	Business	Business Utilities		Content relating to Business and Finance > Business > Business Utilities: business utilities, commercial utilities, business energy, office utilities.
74	53	Business and Finance	Business	Consumer Issues		Content relating to Business and Finance > Business > Consumer Issues: consumer issues, consumer protection, customer complaints, product safety, consumer rights.
75	74	Business and Finance	Business	Consumer Issues	Recalls	Content relating to Business and Finance > Business > Consumer Issues > Recalls: product recalls, safety recalls, consumer recalls, recall notices, defective products.
76	53	Business and Finance	Business	Executive Leadership & Management		Content relating to Business and Finance > Business > Executive Leadership & Management: executive leadership, C-suite, CEO, management, leadership, board of directors.
77	53	Business and Finance	Business	Government Business		Content relating to Business and Finance > Business > Government Business: government contracting, federal contracts, government procurement, public sector business.
78	53	Business and Finance	Business	Green Solutions		Content relating to Business and Finance > Business > Green Solutions: green business, sustainability, eco-friendly business, carbon reduction, green initiatives.
55	53	Business and Finance	Business	Human Resources		Content relating to Business and Finance > Business > Human Resources: human resources, HR, recruitment, employment, workforce, employee benefits, talent.
56	53	Business and Finance	Business	Large Business		Content relating to Business and Finance > Business > Large Business: large enterprise, Fortune 500, big business, corporate enterprise.
57	53	Business and Finance	Business	Logistics		Content relating to Business and Finance > Business > Logistics: logistics, supply chain, shipping, warehousing, distribution, freight, fulfillment.
58	53	Business and Finance	Business	Marketing and Advertising		Content relating to Business and Finance > Business > Marketing and Advertising: marketing, advertising, brand, campaigns, digital marketing, ad agency.
59	53	Business and Finance	Business	Sales		Content relating to Business and Finance > Business > Sales: sales, selling, sales force, B2B sales, sales strategy, revenue.
60	53	Business and Finance	Business	Small and Medium-sized Business		Content relating to Business and Finance > Business > Small and Medium-sized Business: SME, SMB, small business, mid-size business, entrepreneurship.
61	53	Business and Finance	Business	Startups		Content relating to Business and Finance > Business > Startups: startups, start-up, early-stage company, tech startup, startup funding, scaling.
80	52	Business and Finance	Economy			Content relating to Business and Finance > Economy: economy, economic news, GDP, recession, growth, macroeconomic, fiscal policy.
81	80	Business and Finance	Economy	Commodities		Content relating to Business and Finance > Economy > Commodities: commodities, raw materials, oil, gold, metals, commodity trading, futures.
82	80	Business and Finance	Economy	Currencies		Content relating to Business and Finance > Economy > Currencies: currencies, forex, foreign exchange, FX, currency trading, exchange rates.
83	80	Business and Finance	Economy	Financial Crisis		Content relating to Business and Finance > Economy > Financial Crisis: financial crisis, recession, economic collapse, bank crisis, market crash.
84	80	Business and Finance	Economy	Financial Reform		Content relating to Business and Finance > Economy > Financial Reform: financial reform, banking reform, regulation, Dodd-Frank, financial regulation.
85	80	Business and Finance	Economy	Financial Regulation		Content relating to Business and Finance > Economy > Financial Regulation: financial regulation, regulators, SEC, compliance, banking rules.
86	80	Business and Finance	Economy	Gasoline Prices		Content relating to Business and Finance > Economy > Gasoline Prices: gas prices, fuel prices, oil prices, pump price, gasoline, diesel price.
87	80	Business and Finance	Economy	Housing Market		Content relating to Business and Finance > Economy > Housing Market: housing market, real estate market, home prices, mortgage rates, housing bubble.
88	80	Business and Finance	Economy	Interest Rates		Content relating to Business and Finance > Economy > Interest Rates: interest rates, Fed rates, central bank, borrowing costs, rate hike.
89	80	Business and Finance	Economy	Job Market		Content relating to Business and Finance > Economy > Job Market: job market, employment, unemployment, hiring, labor market, jobs report.
90	52	Business and Finance	Industries			Content relating to Business and Finance > Industries: industries, sector, industrial, manufacturing, sector analysis.
91	90	Business and Finance	Industries	Advertising Industry		Content relating to Business and Finance > Industries > Advertising Industry: advertising industry, ad industry, ad agencies, media buying, creative agencies.
102	90	Business and Finance	Industries	Agriculture		Content relating to Business and Finance > Industries > Agriculture: agriculture, farming, agribusiness, crops, livestock, agricultural sector.
113	90	Business and Finance	Industries	Apparel Industry		Content relating to Business and Finance > Industries > Apparel Industry: apparel industry, fashion industry, clothing manufacturing, garment industry.
117	90	Business and Finance	Industries	Automotive Industry		Content relating to Business and Finance > Industries > Automotive Industry: automotive industry, car industry, auto manufacturing, OEMs, auto sector.
118	90	Business and Finance	Industries	Aviation Industry		Content relating to Business and Finance > Industries > Aviation Industry: aviation industry, airlines, aerospace, aircraft manufacturing, airline industry.
119	90	Business and Finance	Industries	Biotech and Biomedical Industry		Content relating to Business and Finance > Industries > Biotech and Biomedical Industry: biotech, biomedical, life sciences, pharma R&D, biotech companies.
120	90	Business and Finance	Industries	Civil Engineering Industry		Content relating to Business and Finance > Industries > Civil Engineering Industry: civil engineering, infrastructure, construction engineering, structural engineering.
121	90	Business and Finance	Industries	Construction Industry		Content relating to Business and Finance > Industries > Construction Industry: construction industry, building, contractors, construction sector, construction firms.
122	90	Business and Finance	Industries	Defense Industry		Content relating to Business and Finance > Industries > Defense Industry: defense industry, military contractors, defense contractors, aerospace defense.
92	90	Business and Finance	Industries	Education industry		Content relating to Business and Finance > Industries > Education industry: education industry, ed tech, educational services, private education sector.
93	90	Business and Finance	Industries	Entertainment Industry		Content relating to Business and Finance > Industries > Entertainment Industry: entertainment industry, film industry, Hollywood, media entertainment.
94	90	Business and Finance	Industries	Environmental Services Industry		Content relating to Business and Finance > Industries > Environmental Services Industry: environmental services, waste management, recycling, environmental consulting.
95	90	Business and Finance	Industries	Financial Industry		Content relating to Business and Finance > Industries > Financial Industry: financial industry, banking sector, financial services, Wall Street, finance sector.
96	90	Business and Finance	Industries	Food Industry		Content relating to Business and Finance > Industries > Food Industry: food industry, food manufacturing, food processing, F&B industry, food sector.
97	90	Business and Finance	Industries	Healthcare Industry		Content relating to Business and Finance > Industries > Healthcare Industry: healthcare industry, health sector, hospitals, medical industry, healthcare providers.
98	90	Business and Finance	Industries	Hospitality Industry		Content relating to Business and Finance > Industries > Hospitality Industry: hospitality industry, hotels, restaurants, tourism industry, lodging.
99	90	Business and Finance	Industries	Information Services Industry		Content relating to Business and Finance > Industries > Information Services Industry: information services, data services, IT services, information industry.
100	90	Business and Finance	Industries	Legal Services Industry		Content relating to Business and Finance > Industries > Legal Services Industry: legal industry, law firms, legal services, attorneys, legal sector.
101	90	Business and Finance	Industries	Logistics and Transportation Industry		Content relating to Business and Finance > Industries > Logistics and Transportation Industry: logistics industry, transportation sector, shipping industry, freight industry.
103	90	Business and Finance	Industries	Management Consulting Industry		Content relating to Business and Finance > Industries > Management Consulting Industry: management consulting, consultants, McKinsey, BCG, strategy consulting.
104	90	Business and Finance	Industries	Manufacturing Industry		Content relating to Business and Finance > Industries > Manufacturing Industry: manufacturing, factory, production, industrial manufacturing, made in USA.
105	90	Business and Finance	Industries	Mechanical and Industrial Engineering Industry		Content relating to Business and Finance > Industries > Mechanical and Industrial Engineering Industry: mechanical engineering, industrial engineering, engineering sector.
106	90	Business and Finance	Industries	Media Industry		Content relating to Business and Finance > Industries > Media Industry: media industry, publishing, news media, broadcast, media companies.
107	90	Business and Finance	Industries	Metals Industry		Content relating to Business and Finance > Industries > Metals Industry: metals industry, steel, aluminum, metal manufacturing, metalworking.
108	90	Business and Finance	Industries	Non-Profit Organizations		Content relating to Business and Finance > Industries > Non-Profit Organizations: nonprofit, NGOs, charitable organizations, 501(c)(3), foundations.
109	90	Business and Finance	Industries	Pharmaceutical Industry		Content relating to Business and Finance > Industries > Pharmaceutical Industry: pharmaceutical industry, pharma, drug companies, biopharma, drug development.
110	90	Business and Finance	Industries	Power and Energy Industry		Content relating to Business and Finance > Industries > Power and Energy Industry: power industry, energy sector, utilities, oil and gas, renewable energy.
111	90	Business and Finance	Industries	Publishing Industry		Content relating to Business and Finance > Industries > Publishing Industry: publishing industry, book publishing, magazines, publishers, publishing sector.
112	90	Business and Finance	Industries	Real Estate Industry		Content relating to Business and Finance > Industries > Real Estate Industry: real estate industry, property sector, real estate development, REITs.
114	90	Business and Finance	Industries	Retail Industry		Content relating to Business and Finance > Industries > Retail Industry: retail industry, retail sector, stores, retail sales, shopping.
115	90	Business and Finance	Industries	Technology Industry		Content relating to Business and Finance > Industries > Technology Industry: technology industry, tech sector, Silicon Valley, software industry, tech companies.
116	90	Business and Finance	Industries	Telecommunications Industry		Content relating to Business and Finance > Industries > Telecommunications Industry: telecommunications, telecom, wireless, carriers, telecom industry.
123		Careers				Content relating to Careers: careers, jobs, employment, career development, professional growth, work.
124	123	Careers	Apprenticeships			Content relating to Careers > Apprenticeships: apprenticeships, trade school, vocational training, apprenticeship programs, skilled trades.
125	123	Careers	Career Advice			Content relating to Careers > Career Advice: career advice, job advice, career coaching, career tips, professional advice.
126	123	Careers	Career Planning			Content relating to Careers > Career Planning: career planning, career path, career goals, career development plan.
127	123	Careers	Job Search			Content relating to Careers > Job Search: job search, finding jobs, job hunting, job applications, job boards.
128	127	Careers	Job Search	Job Fairs		Content relating to Careers > Job Search > Job Fairs: job fairs, career fairs, hiring events, recruitment events, job fair.
129	127	Careers	Job Search	Resume Writing and Advice		Content relating to Careers > Job Search > Resume Writing and Advice: resume, CV, resume writing, resume tips, cover letter, job application.
130	123	Careers	Remote Working			Content relating to Careers > Remote Working: remote work, work from home, WFH, telecommuting, remote jobs, distributed team.
131	123	Careers	Vocational Training			Content relating to Careers > Vocational Training: vocational training, trade school, technical education, skills training, certification.
80DV8O		Communication				Content relating to Communication: communication, communications, messaging, interpersonal communication, media.
380		Crime				Content relating to Crime: crime, criminal, law enforcement, crime news, criminal justice.
381		Disasters				Content relating to Disasters: disasters, natural disasters, emergency, catastrophe, disaster relief, crisis.
132		Education				Content relating to Education: education, learning, schools, teaching, academic, educational.
133	132	Education	Adult Education			Content relating to Education > Adult Education: adult education, continuing education, lifelong learning, night school, adult learning.
137	132	Education	College Education			Content relating to Education > College Education: college, university, higher education, undergraduate, graduate school.
138	137	Education	College Education	College Planning		Content relating to Education > College Education > College Planning: college planning, college applications, SAT, ACT, college prep, choosing a college.
139	137	Education	College Education	Postgraduate Education		Content relating to Education > College Education > Postgraduate Education: postgraduate, grad school, master's degree, PhD, graduate programs.
140	139	Education	College Education	Postgraduate Education	Professional School	Content relating to Education > College Education > Postgraduate Education > Professional School: professional school, law school, medical school, business school, professional degree.
141	137	Education	College Education	Undergraduate Education		Content relating to Education > College Education > Undergraduate Education: undergraduate, bachelor's degree, undergrad, four-year degree, college degree.
142	132	Education	Early Childhood Education			Content relating to Education > Early Childhood Education: early childhood, preschool, kindergarten, early learning, toddler education.
143	132	Education	Educational Assessment			Content relating to Education > Educational Assessment: educational assessment, testing, assessment, student evaluation, standardized tests.
144	143	Education	Educational Assessment	Standardized Testing		Content relating to Education > Educational Assessment > Standardized Testing: standardized tests, SAT, ACT, test prep, exam scores, assessment tests.
145	132	Education	Homeschooling			Content relating to Education > Homeschooling: homeschooling, homeschool, home education, curriculum, homeschool resources.
146	132	Education	Homework and Study			Content relating to Education > Homework and Study: homework, study tips, study skills, studying, academic help.
147	132	Education	Language Learning			Content relating to Education > Language Learning: language learning, foreign language, second language, language courses, bilingual.
148	132	Education	Online Education			Content relating to Education > Online Education: online education, e-learning, online courses, distance learning, MOOC, online degree.
149	132	Education	Primary Education			Content relating to Education > Primary Education: primary education, elementary school, primary school, grades K-5, elementary.
134	132	Education	Private School			Content relating to Education > Private School: private school, independent school, private education, tuition, parochial school.
135	132	Education	Secondary Education			Content relating to Education > Secondary Education: secondary education, high school, middle school, grades 6-12.
136	132	Education	Special Education			Content relating to Education > Special Education: special education, special needs, IEP, learning disabilities, inclusive education.
JLBCU7		Entertainment				Content relating to Entertainment: entertainment, movies, music, TV, pop culture, entertainment news.
324	JLBCU7	Entertainment	Movies			Content relating to Entertainment > Movies: movies, films, cinema, Hollywood, film reviews, movie news, box office.
338	JLBCU7	Entertainment	Music			Content relating to Entertainment > Music: music, songs, albums, artists, music news, concerts, music reviews.
640	JLBCU7	Entertainment	Television			Content relating to Entertainment > Television: television, TV shows, series, streaming, broadcast, TV news.
8VZQHL		Events				Content relating to Events: events, occasions, gatherings, event planning, festivals, conferences.
162	8VZQHL	Events	Awards Shows			Content relating to Events > Awards Shows: awards shows, Oscars, Grammys, Emmys, red carpet, award ceremony.
180	8VZQHL	Events	Business Expos & Conferences			Content relating to Events > Business Expos & Conferences: business conferences, trade shows, expos, B2B events, industry conferences.
185	8VZQHL	Events	Fan Conventions			Content relating to Events > Fan Conventions: fan conventions, comic con, fan expo, cosplay, convention, fandom.
186		Family and Relationships				Content relating to Family and Relationships: family, relationships, parenting, marriage, dating, family life.
187	186	Family and Relationships	Bereavement			Content relating to Family and Relationships > Bereavement: bereavement, grief, loss, mourning, funeral, coping with loss.
188	186	Family and Relationships	Dating			Content relating to Family and Relationships > Dating: dating, relationships, singles, online dating, dating advice, first date.
189	186	Family and Relationships	Divorce			Content relating to Family and Relationships > Divorce: divorce, separation, divorce lawyer, custody, divorce process.
190	186	Family and Relationships	Eldercare			Content relating to Family and Relationships > Eldercare: eldercare, senior care, aging parents, caregiving, elderly care.
191	186	Family and Relationships	Marriage and Civil Unions			Content relating to Family and Relationships > Marriage and Civil Unions: marriage, wedding, civil union, married life, spouse.
192	186	Family and Relationships	Parenting			Content relating to Family and Relationships > Parenting: parenting, parents, kids, children, child rearing, family.
193	192	Family and Relationships	Parenting	Adoption and Fostering		Content relating to Family and Relationships > Parenting > Adoption and Fostering: adoption, fostering, foster care, adopted children, adoption process.
194	192	Family and Relationships	Parenting	Daycare and Pre-School		Content relating to Family and Relationships > Parenting > Daycare and Pre-School: daycare, preschool, child care, nursery, early childhood care.
195	192	Family and Relationships	Parenting	Internet Safety		Content relating to Family and Relationships > Parenting > Internet Safety: internet safety, online safety, kids online, cyber safety, parental controls.
196	192	Family and Relationships	Parenting	Parenting Babies and Toddlers		Content relating to Family and Relationships > Parenting > Parenting Babies and Toddlers: babies, toddlers, infant care, newborn, baby care, toddler development.
197	192	Family and Relationships	Parenting	Parenting Children Aged 4-11		Content relating to Family and Relationships > Parenting > Parenting Children Aged 4-11: children 4-11, kids, elementary age, child development, school-age kids.
198	192	Family and Relationships	Parenting	Parenting Teens		Content relating to Family and Relationships > Parenting > Parenting Teens: teenagers, teens, adolescent, teen parenting, high school years.
199	192	Family and Relationships	Parenting	Special Needs Kids		Content relating to Family and Relationships > Parenting > Special Needs Kids: special needs children, disabilities, inclusive parenting, support for families.
200	186	Family and Relationships	Single Life			Content relating to Family and Relationships > Single Life: single life, single, unmarried, bachelor, single living.
201		Fine Art				Content relating to Fine Art: fine art, visual arts, galleries, art world, contemporary art, art exhibitions.
202	201	Fine Art	Costume			Content relating to Fine Art > Costume: costume design, costumes, theatrical costume, costume making.
203	201	Fine Art	Dance			Content relating to Fine Art > Dance: dance, ballet, contemporary dance, dance performance, choreography.
204	201	Fine Art	Design			Content relating to Fine Art > Design: design, graphic design, product design, design industry.
205	201	Fine Art	Digital Arts			Content relating to Fine Art > Digital Arts: digital art, digital illustration, digital media art, CGI art.
206	201	Fine Art	Fine Art Photography			Content relating to Fine Art > Fine Art Photography: fine art photography, artistic photography, photo art, gallery photography.
207	201	Fine Art	Modern Art			Content relating to Fine Art > Modern Art: modern art, contemporary art, modernism, abstract art, art movement.
208	201	Fine Art	Opera			Content relating to Fine Art > Opera: opera, operatic, opera house, classical singing, opera performance.
209	201	Fine Art	Theater			Content relating to Fine Art > Theater: theater, theatre, stage, drama, plays, theatrical performance.
210		Food & Drink				Content relating to Food & Drink: food, drink, cooking, recipes, dining, cuisine, beverages.
211	210	Food & Drink	Alcoholic Beverages			Content relating to Food & Drink > Alcoholic Beverages: alcohol, wine, beer, spirits, cocktails, liquor, drinking.
215	210	Food & Drink	Barbecues and Grilling			Content relating to Food & Drink > Barbecues and Grilling: BBQ, grilling, barbecue, outdoor cooking, grill, smoked meat.
216	210	Food & Drink	Cooking			Content relating to Food & Drink > Cooking: cooking, recipes, chef, kitchen, home cooking, culinary.
217	210	Food & Drink	Desserts and Baking			Content relating to Food & Drink > Desserts and Baking: desserts, baking, cakes, pastries, sweets, cookies, pies.
218	210	Food & Drink	Dining Out			Content relating to Food & Drink > Dining Out: dining out, restaurants, eating out, restaurant reviews, foodie.
219	210	Food & Drink	Food Allergies			Content relating to Food & Drink > Food Allergies: food allergies, allergic reaction, food intolerance, allergen, allergy-free.
220	210	Food & Drink	Food Movements			Content relating to Food & Drink > Food Movements: food movement, organic, local food, farm to table, sustainable food.
